[driver] start G25O-R full mode3 100
[batch] run 19: success=True cleared=11 V=7441.174782 fallback=0
[batch] run 20: clicked 开始问题4演练测试, waiting runner...
[batch] run 20: success=True cleared=13 V=7715.849269 fallback=0
[batch] run 21: clicked 开始问题4演练测试, waiting runner...
[batch] run 21: success=True cleared=10 V=7012.178077 fallback=0
[batch] run 22: clicked 开始问题4演练测试, waiting runner...
[batch] run 22: success=True cleared=14 V=7449.452703 fallback=0
[batch] run 23: clicked 开始问题4演练测试, waiting runner...
[batch] run 23: success=True cleared=16 V=5915.732051 fallback=0
[batch] run 24: clicked 开始问题4演练测试, waiting runner...
[batch] run 24: success=True cleared=16 V=5901.631373 fallback=0
[batch] run 25: clicked 开始问题4演练测试, waiting runner...
[batch] run 25: success=True cleared=11 V=7187.02719 fallback=0
[batch] run 26: clicked 开始问题4演练测试, waiting runner...
[batch] run 26: success=True cleared=11 V=7769.059893 fallback=0
[batch] run 27: clicked 开始问题4演练测试, waiting runner...
[batch] run 27: success=True cleared=11 V=7310.614777 fallback=0
[batch] run 28: clicked 开始问题4演练测试, waiting runner...
[batch] run 28: success=True cleared=14 V=7145.887873 fallback=0
[batch] run 29: clicked 开始问题4演练测试, waiting runner...
[batch] run 29: success=True cleared=11 V=7104.877714 fallback=0
[batch] run 30: clicked 开始问题4演练测试, waiting runner...
[batch] run 30: success=True cleared=15 V=7777.726482 fallback=0
[batch] run 31: clicked 开始问题4演练测试, waiting runner...
[batch] run 31: success=True cleared=16 V=4666.753298 fallback=0
[batch] run 32: clicked 开始问题4演练测试, waiting runner...
[batch] run 32: success=True cleared=10 V=7256.830644 fallback=0
[batch] run 33: clicked 开始问题4演练测试, waiting runner...
[batch] run 33: success=True cleared=13 V=6778.828149 fallback=0
[batch] run 34: clicked 开始问题4演练测试, waiting runner...
[batch] run 34: success=True cleared=14 V=8000.218493 fallback=0
[batch] run 35: clicked 开始问题4演练测试, waiting runner...
[batch] run 35: success=True cleared=13 V=6941.917184 fallback=0
[batch] run 36: clicked 开始问题4演练测试, waiting runner...
[batch] run 36: success=True cleared=11 V=7420.879107 fallback=0
[batch] run 37: clicked 开始问题4演练测试, waiting runner...
[batch] run 37: success=True cleared=14 V=7478.51379 fallback=0
[batch] run 38: clicked 开始问题4演练测试, waiting runner...
[batch] run 38: success=True cleared=12 V=7687.778175 fallback=0
[batch] run 39: clicked 开始问题4演练测试, waiting runner...
[batch] run 39: success=True cleared=12 V=6951.732544 fallback=0
[batch] run 40: clicked 开始问题4演练测试, waiting runner...
[batch] run 40: success=True cleared=14 V=6681.18053 fallback=0
[batch] run 41: clicked 开始问题4演练测试, waiting runner...
[batch] run 41: success=True cleared=11 V=6741.287353 fallback=0
[batch] run 42: clicked 开始问题4演练测试, waiting runner...
[batch] run 42: success=True cleared=14 V=8237.277277 fallback=0
[batch] run 43: clicked 开始问题4演练测试, waiting runner...
[batch] run 43: success=True cleared=13 V=6868.502739 fallback=0
[batch] run 44: clicked 开始问题4演练测试, waiting runner...
[batch] run 44: success=True cleared=16 V=4632.499448 fallback=0
[batch] run 45: clicked 开始问题4演练测试, waiting runner...
[batch] run 45: success=True cleared=15 V=7667.990069 fallback=0
[batch] run 46: clicked 开始问题4演练测试, waiting runner...
[batch] run 46: success=True cleared=16 V=7385.509304 fallback=0
[batch] run 47: clicked 开始问题4演练测试, waiting runner...
[batch] run 47: success=True cleared=10 V=7001.844944 fallback=0
[batch] run 48: clicked 开始问题4演练测试, waiting runner...
[batch] run 48: success=True cleared=10 V=7970.164723 fallback=0
[batch] run 49: clicked 开始问题4演练测试, waiting runner...
[batch] run 49: success=True cleared=12 V=6530.029356 fallback=0
[batch] run 50: clicked 开始问题4演练测试, waiting runner...
[batch] run 50: success=True cleared=12 V=6622.562586 fallback=0
[batch] run 51: clicked 开始问题4演练测试, waiting runner...
[batch] run 51: success=True cleared=16 V=5395.915689 fallback=0
[batch] run 52: clicked 开始问题4演练测试, waiting runner...
[batch] run 52: success=True cleared=16 V=4887.848495 fallback=0
[batch] run 53: clicked 开始问题4演练测试, waiting runner...
[batch] run 53: success=True cleared=11 V=7153.073377 fallback=0
[batch] run 54: clicked 开始问题4演练测试, waiting runner...
[batch] run 54: success=True cleared=12 V=7303.924414 fallback=0
[batch] run 55: clicked 开始问题4演练测试, waiting runner...
[batch] run 55: success=True cleared=10 V=7341.898826 fallback=0
[batch] run 56: clicked 开始问题4演练测试, waiting runner...
[batch] run 56: success=True cleared=13 V=7040.313205 fallback=0
[batch] run 57: clicked 开始问题4演练测试, waiting runner...
[batch] run 57: success=True cleared=10 V=7093.164273 fallback=0
[batch] run 58: clicked 开始问题4演练测试, waiting runner...
[batch] run 58: success=True cleared=14 V=6947.541504 fallback=0
[batch] run 59: clicked 开始问题4演练测试, waiting runner...
[batch] run 59: success=True cleared=10 V=7350.668268 fallback=0
[batch] run 60: clicked 开始问题4演练测试, waiting runner...
[batch] run 60: success=True cleared=11 V=7153.208037 fallback=0
[batch] run 61: clicked 开始问题4演练测试, waiting runner...
[batch] run 61: success=True cleared=10 V=7496.419208 fallback=0
[batch] run 62: clicked 开始问题4演练测试, waiting runner...
[batch] run 62: success=True cleared=15 V=7176.353129 fallback=0
[batch] run 63: clicked 开始问题4演练测试, waiting runner...
[batch] run 63: success=True cleared=13 V=6685.186131 fallback=0
[batch] run 64: clicked 开始问题4演练测试, waiting runner...
[batch] run 64: success=True cleared=15 V=7194.585675 fallback=0
[batch] run 65: clicked 开始问题4演练测试, waiting runner...
[batch] run 65: success=True cleared=13 V=7750.181102 fallback=0
[batch] run 66: clicked 开始问题4演练测试, waiting runner...
[batch] run 66: success=True cleared=14 V=7632.127505 fallback=0
[batch] run 67: clicked 开始问题4演练测试, waiting runner...
[batch] run 67: success=True cleared=11 V=6939.451645 fallback=0
[batch] run 68: clicked 开始问题4演练测试, waiting runner...
[batch] run 68: success=True cleared=14 V=7008.741287 fallback=0
[batch] run 69: clicked 开始问题4演练测试, waiting runner...
[batch] run 69: success=True cleared=11 V=6729.161639 fallback=0
[batch] run 70: clicked 开始问题4演练测试, waiting runner...
[batch] run 70: success=True cleared=10 V=7199.347167 fallback=0
[batch] run 71: clicked 开始问题4演练测试, waiting runner...
[batch] run 71: success=True cleared=16 V=5444.021932 fallback=0
[batch] run 72: clicked 开始问题4演练测试, waiting runner...
[batch] run 72: success=True cleared=14 V=6974.115316 fallback=0
[batch] run 73: clicked 开始问题4演练测试, waiting runner...
[batch] run 73: success=True cleared=14 V=7050.206076 fallback=0
[batch] run 74: clicked 开始问题4演练测试, waiting runner...
[batch] run 74: success=True cleared=13 V=7225.271214 fallback=0
[batch] run 75: clicked 开始问题4演练测试, waiting runner...
[batch] run 75: success=True cleared=14 V=6594.360177 fallback=0
[batch] run 76: clicked 开始问题4演练测试, waiting runner...
[batch] run 76: success=True cleared=14 V=7269.2597 fallback=0
[batch] run 77: clicked 开始问题4演练测试, waiting runner...
[batch] run 77: success=True cleared=13 V=7357.417422 fallback=0
[batch] run 78: clicked 开始问题4演练测试, waiting runner...
[batch] run 78: success=True cleared=12 V=7346.895078 fallback=0
[batch] run 79: clicked 开始问题4演练测试, waiting runner...
[batch] run 79: success=True cleared=13 V=6824.161688 fallback=0
