kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,4,93024,G25O,G25OR,S21,True,15,6436.327057792076,26516.635288960384,178,168,15,0,0,0,39,,15
uniform,4,93025,A0,G25OR,S21,True,12,13587.142803381328,53775.71401690656,430,379,93,81,0,1,0,79,12
uniform,4,93025,G25O,G25OR,S21,True,12,7029.602399764673,26848.011998823375,268,260,12,0,0,0,37,,12
uniform,4,93026,A0,G25OR,S21,True,13,11963.400254876968,50132.0012743848,308,254,39,26,0,2,0,89,13
uniform,4,93026,G25O,G25OR,S21,True,13,6133.387510185642,23826.937550928207,218,213,13,0,0,0,33,,13
uniform,4,93027,A0,G25OR,S21,True,13,11550.540029281561,47252.70014640783,346,305,13,0,0,0,0,78,13
uniform,4,93027,G25O,G25OR,S21,True,13,7292.81786771259,28634.089338562942,252,241,13,0,0,0,48,,13
uniform,4,93028,A0,G25OR,S21,True,12,13095.327774794143,53141.63887397061,369,322,92,80,0,1,0,79,12
uniform,4,93028,G25O,G25OR,S21,True,12,7510.905688445503,29094.52844222751,276,252,12,0,0,0,40,,12
uniform,4,93029,A0,G25OR,S21,True,15,14890.605449428525,61558.02724714248,357,302,154,139,0,2,0,98,15
uniform,4,93029,G25O,G25OR,S21,True,15,6553.542428135259,25787.712140676296,221,216,15,0,0,0,41,,15
uniform,4,93030,A0,G25OR,S21,True,16,14079.111824502936,58765.55912251445,282,230,218,202,0,3,0,97,16
uniform,4,93030,G25O,G25OR,S21,True,16,4226.227510506269,16621.13755253134,139,127,16,0,0,0,45,,16
uniform,4,93031,A0,G25OR,S21,True,12,12577.42407629185,51142.12038145912,343,292,106,94,0,1,0,83,12
uniform,4,93031,G25O,G25OR,S21,True,12,7124.052391622484,27795.261958112427,253,240,12,0,0,0,46,,12
uniform,4,93032,A0,G25OR,S21,True,10,12569.928723272586,49504.64361636285,397,352,104,94,0,1,0,74,10
uniform,4,93032,G25O,G25OR,S21,True,10,7111.64502265655,26143.225113282737,308,293,10,0,0,0,34,,10
uniform,4,93033,A0,G25OR,S21,True,12,14164.273923315668,56806.36961657816,366,316,211,199,0,2,0,80,12
uniform,4,93033,G25O,G25OR,S21,True,12,6521.214119876305,24371.070599381535,266,257,12,0,0,0,28,,12
uniform,4,93034,A0,G25OR,S21,True,16,14861.836386043717,61739.18193021831,272,222,300,284,0,3,0,104,16
uniform,4,93034,G25O,G25OR,S21,True,16,3684.489642557854,14892.448212789266,107,91,16,0,0,0,43,,16
uniform,4,93035,A0,G25OR,S21,True,16,12677.31791081923,54956.58955409601,229,179,110,94,0,1,0,89,16
uniform,4,93035,G25O,G25OR,S21,True,16,6103.264112953769,24426.32056476883,193,173,16,0,0,0,53,,16
uniform,4,93036,A0,G25OR,S21,True,13,14270.634463355706,56958.17231677828,350,302,267,254,0,3,0,85,13
uniform,4,93036,G25O,G25OR,S21,True,13,6486.231527363874,24811.157636819356,246,229,13,0,0,0,35,,13
uniform,4,93037,A0,G25OR,S21,True,14,13051.455821213478,53967.27910606726,326,276,108,94,0,2,0,87,14
uniform,4,93037,G25O,G25OR,S21,True,14,6898.229517310078,26816.14758655039,247,230,14,0,0,0,43,,14
uniform,4,93038,A0,G25OR,S21,True,11,12932.33844511908,50256.69222559527,404,365,158,147,0,2,0,76,11
uniform,4,93038,G25O,G25OR,S21,True,11,6831.709953562421,25018.549767812092,297,288,11,0,0,0,36,,11
uniform,4,93039,A0,G25OR,S21,True,11,15523.211608723585,62666.05804361767,378,328,250,239,0,3,0,78,11
uniform,4,93039,G25O,G25OR,S21,True,11,7228.468529552873,27227.342647764366,289,283,11,0,0,0,36,,11
uniform,4,93040,A0,G25OR,S21,True,14,12170.130088404881,49375.65044202431,324,287,120,106,0,1,0,77,14
uniform,4,93040,G25O,G25OR,S21,True,14,6993.296463833931,27826.482319169674,228,218,14,0,0,0,45,,14
uniform,4,93041,A0,G25OR,S21,True,14,19611.66145217855,78938.307260891,376,317,533,519,0,6,0,103,14
uniform,4,93041,G25O,G25OR,S21,True,14,6739.029359609919,26330.14679804959,235,228,14,0,0,0,38,,14
