mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
4,170003,O3,16,True,16,6717.428719219676,24037.143596098384,309,16,0
4,170003,O0,16,True,16,1780.2345366564075,8501.172683282035,0,16,0
4,170004,G25OR,11,True,11,7066.172567672958,25570.86283836479,318,11,0
4,170004,O1,11,True,11,5282.123869736576,23375.619348682878,93,11,0
4,170004,O2,11,True,11,6409.8411555901,23494.205777950505,280,11,0
4,170004,O3,11,True,11,3299.9154531923655,14629.577265961827,55,11,0
4,170004,O0,11,True,11,1632.934497886622,7889.672489433111,0,11,0
4,170005,G25OR,15,True,15,7379.81364317873,28149.068215893643,281,15,0
4,170005,O1,15,True,15,6629.81364317873,28149.068215893643,156,15,0
4,170005,O2,15,True,15,6796.040276273733,26790.20138136866,231,15,0
4,170005,O3,15,True,15,5855.072955335522,25835.364776677616,106,15,0
4,170005,O0,15,True,15,1908.4408034665155,9167.204017332577,0,15,0
4,170006,G25OR,13,True,13,10267.963673877948,36724.818369389766,487,13,0
4,170006,O1,13,True,13,9217.96367387795,36724.818369389766,312,13,0
4,170006,O2,13,True,13,7810.046497598232,26275.232487991158,419,13,0
4,170006,O3,13,True,13,6870.672778522412,26818.363892612062,244,13,0
4,170006,O0,13,True,13,2134.6405346990077,10348.202673495038,0,13,0
4,170007,G25OR,15,True,15,7028.830376844773,27429.15188422388,246,15,0
4,170007,O1,15,True,15,6278.830376844773,27429.15188422388,121,15,0
4,170007,O2,15,True,15,6556.771791660305,26493.858958301516,201,15,0
4,170007,O3,15,True,15,5554.87903209081,25229.395160454045,76,15,0
4,170007,O0,15,True,15,1754.118094937131,8395.590474685656,0,15,0
4,170008,G25OR,11,True,11,6634.8149090346615,23834.074545173313,304,11,0
4,170008,O1,11,True,11,4094.575381064701,17862.876905323505,79,11,0
4,170008,O2,11,True,11,6173.672583495827,22708.36291747914,267,11,0
4,170008,O3,11,True,11,3298.026534404758,15005.13267202379,42,11,0
4,170008,O0,11,True,11,1420.0276967847008,6825.1384839235025,0,11,0
4,170009,G25OR,15,True,15,10301.24616204678,35911.230810233894,521,15,0
4,170009,O1,15,True,15,9552.246162046777,35911.230810233894,396,15,0
4,170009,O2,15,True,15,7688.992795221987,25174.963976109935,434,15,0
4,170009,O3,15,True,15,6939.992795221989,25174.963976109935,309,15,0
4,170009,O0,15,True,15,2069.212982138142,9971.064910690704,0,15,0
4,170010,G25OR,11,True,11,6941.318479054663,24836.592395273317,322,11,0
4,170010,O1,11,True,11,5659.363015592143,25181.815077960713,97,11,0
4,170010,O2,11,True,11,6773.519772868473,25157.59886434237,285,11,0
4,170010,O3,11,True,11,5096.683915979835,23498.41957989917,60,11,0
4,170010,O0,11,True,11,1586.9921763466355,7659.960881733177,0,11,0
4,170011,G25OR,16,True,16,6269.2192520107255,25041.096260053633,199,16,0
4,170011,O1,16,True,16,5790.2192520107255,25041.096260053633,119,16,0
