mode,seed,sources,orig_v,orig_dist,first_noncoverage_index,undiscovered_true_at_first,noncoverage_stops,coverage_tasks_after_first,coverage_visits_after_first,unknown_opportunities,shadow_signal_events,shadow_absent_channels,valid_deleted_tasks,valid_whole_waypoints,valid_partial_waypoints,valid_dist_saved,added_shadow_s,valid_new_v,valid_net_s_per_source,valid_recovery_of_B_minus_O0,signal_only_added_s,signal_only_net_s_per_source,gross_deleted_tasks,gross_whole_waypoints,gross_dist_saved,gross_new_v,gross_net_s_per_source,gross_recovery_of_B_minus_O0
3,160034,15,4422.260242559455,18371.301212797272,33,7,34,47,5,47,0,0,0,0,0,0.0,281.9999999999991,4704.260242559454,-18.79999999999994,-0.15912818376293114,0.0,0.0,47,5,0.0,4140.260242559455,18.8,0.15912818376293164
3,160035,15,4290.55452331923,17882.77261659614,35,5,34,37,5,37,0,0,0,0,0,0.0,221.9999999999991,4512.554523319229,-14.799999999999939,-0.13719051556558684,0.0,0.0,37,5,0.0,4068.5545233192292,14.800000000000031,0.1371905155655877
3,160036,14,4430.971335126706,17859.856675633546,73,7,43,29,3,29,0,0,0,0,0,0.0,174.0000000000009,4604.971335126707,-12.428571428571493,-0.09413755382391228,0.0,0.0,29,3,0.0,4256.971335126706,12.428571428571429,0.0941375538239118
3,160037,10,3763.05250129587,15215.262506479352,33,1,25,52,5,52,0,0,0,0,0,0.0,312.0,4075.05250129587,-31.2,-0.27554527017412106,0.0,0.0,52,5,0.0,3450.05250129587,31.3,0.2764284280913458
3,160038,16,4740.279195651799,20051.395978258995,37,8,50,36,4,215,0,4,0,0,0,0.0,1303.9999999999973,6044.279195651796,-81.49999999999983,-0.8625529789905088,0.0,0.0,36,4,321.53903091734537,4458.971389468329,17.58173788646684,0.18607583300370914
3,160039,15,4483.581129811569,18217.90564905783,56,10,45,42,4,30,0,0,0,0,0,0.0,180.0,4663.581129811569,-12.0,-0.0975084774623187,0.0,0.0,42,4,321.53903091734537,4168.273323628099,21.020520412231296,0.17080657840518879
3,160040,11,3928.601420626202,16143.007103131013,33,2,26,48,5,48,0,0,0,0,0,0.0,288.00000000000045,4216.6014206262025,-26.181818181818223,-0.27611906403182895,0.0,0.0,48,5,0.0,3640.601420626202,26.181818181818183,0.2761190640318285
3,160041,11,4616.440410837772,19257.20205418886,35,4,29,54,5,54,0,0,0,0,0,0.0,324.0,4940.440410837772,-29.454545454545453,-0.1926896066084591,0.0,0.0,54,5,0.0,4291.440410837772,29.545454545454547,0.1932843276165099
3,160042,15,4913.763456619575,20128.817283097862,56,10,50,44,4,29,0,0,0,0,0,0.0,174.0,5087.763456619575,-11.6,-0.10842456483554481,0.0,0.0,44,4,1200.0,4410.763456619573,33.53333333333345,0.3134342305303405
3,160043,13,4104.357606824855,16671.788034124278,47,4,29,39,4,39,0,0,0,0,0,0.0,234.0000000000009,4338.357606824856,-18.00000000000007,-0.13705069146002236,0.0,0.0,39,4,0.0,3870.3576068248562,17.999999999999893,0.137050691460021
