kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,4,97004,G25O,G25OR,S25,True,10,7487.081863778603,26895.40931889302,345,333,10,0,0,0,28,,10
uniform,4,97005,A0,G25OR,S25,True,13,13113.087804106402,54740.43902053197,336,288,57,44,0,2,0,85,13
uniform,4,97005,G25O,G25OR,S25,True,13,7563.272673986703,28811.363369933508,291,281,13,0,0,0,38,,13
uniform,4,97006,A0,G25OR,S25,True,12,13725.582724375283,55202.91362187635,428,377,48,36,0,1,0,83,12
uniform,4,97006,G25O,G25OR,S25,True,12,7551.6428642330175,27713.21432116507,327,314,12,0,0,0,48,,12
uniform,4,97007,A0,G25OR,S25,True,12,13573.655030044813,54673.27515022394,372,329,142,130,0,2,0,82,12
uniform,4,97007,G25O,G25OR,S25,True,12,7475.489448760063,27557.447243800303,320,304,12,0,0,0,42,,12
uniform,4,97008,A0,G25OR,S25,True,16,14796.665208378974,62638.32604189467,280,225,204,188,0,2,0,102,16
uniform,4,97008,G25O,G25OR,S25,True,16,5890.85558387189,23414.277919359454,189,183,16,0,0,0,48,,16
uniform,4,97009,A0,G25OR,S25,True,11,11986.553178533106,47872.765892665535,401,352,11,0,0,0,0,76,11
uniform,4,97009,G25O,G25OR,S25,True,11,7554.066693409938,27580.3334670497,332,323,11,0,0,0,45,,11
uniform,4,97010,A0,G25OR,S25,True,11,13885.210140556217,54931.05070278089,397,349,181,170,0,3,0,78,11
uniform,4,97010,G25O,G25OR,S25,True,11,7260.995071116295,25844.975355581464,341,332,11,0,0,0,36,,11
uniform,4,97011,A0,G25OR,S25,True,13,14456.011427766776,58335.05713883369,376,328,185,172,0,2,0,82,13
uniform,4,97011,G25O,G25OR,S25,True,13,7476.421509263305,28222.10754631654,296,287,13,0,0,0,53,,13
uniform,4,97012,A0,G25OR,S25,True,12,11250.491382076301,46272.456910381494,329,291,12,0,0,0,0,71,12
uniform,4,97012,G25O,G25OR,S25,True,12,6792.315690459277,25686.578452296395,268,255,12,0,0,0,35,,12
uniform,4,97013,A0,G25OR,S25,True,16,14150.834904454849,60809.17452227402,213,166,242,226,0,3,0,97,16
uniform,4,97013,G25O,G25OR,S25,True,16,5462.874192161235,21574.370960806173,179,173,16,0,0,0,42,,16
uniform,4,97014,A0,G25OR,S25,True,10,13091.854896630577,50154.274483152716,444,401,140,130,0,2,0,76,10
uniform,4,97014,G25O,G25OR,S25,True,10,7545.679559499654,26823.397797498277,357,346,10,0,0,0,37,,10
uniform,4,97015,A0,G25OR,S25,True,11,11735.694506663287,47318.47253331642,377,332,11,0,0,0,0,74,11
uniform,4,97015,G25O,G25OR,S25,True,11,7286.42931365642,26117.1465682821,337,323,11,0,0,0,33,,11
uniform,4,97016,A0,G25OR,S25,True,12,13150.39457658764,52281.97288293807,382,337,141,129,0,2,0,79,12
uniform,4,97016,G25O,G25OR,S25,True,12,6853.100089702863,25055.50044851432,298,292,12,0,0,0,36,,12
uniform,4,97017,A0,G25OR,S25,True,15,13880.575272366807,57747.87636183387,326,272,133,118,0,1,0,99,15
uniform,4,97017,G25O,G25OR,S25,True,15,7433.5515497760625,29152.757748880296,256,248,15,0,0,0,49,,15
uniform,4,97018,A0,G25OR,S25,True,12,13759.625553450865,54423.12776725421,434,378,101,89,0,1,0,82,12
uniform,4,97018,G25O,G25OR,S25,True,12,7746.411651398695,27787.058256993474,358,339,12,0,0,0,46,,12
uniform,4,97019,A0,G25OR,S25,True,10,13561.983894120225,52634.91947060094,422,374,177,167,0,2,0,75,10
uniform,4,97019,G25O,G25OR,S25,True,10,7128.5276057492265,25487.63802874612,332,321,10,0,0,0,30,,10
uniform,4,97020,A0,G25OR,S25,True,15,13777.478872552621,58332.394362763,317,265,77,62,0,3,0,92,15
uniform,4,97020,G25O,G25OR,S25,True,15,6996.647543322567,27513.237716612824,238,229,15,0,0,0,47,,15
uniform,4,97021,A0,G25OR,S25,True,10,12600.152183006894,49655.76091503438,389,344,120,110,0,1,0,72,10
