scenario,mode,seed,coverage,sources,success,cleared,virtual_time_s,distance_m,solver_failures,optical_fallbacks
edge,3,98007,S21,12,True,12,4590.837304337899,18694.18652168949,0,0
edge,3,98008,S25,14,True,14,4311.0897350171745,17635.44867508588,0,0
edge,3,98008,S21,14,True,14,4311.0897350171745,17635.44867508588,0,0
edge,3,98009,S25,13,True,13,4755.424872654698,19542.124363273506,0,0
edge,3,98009,S21,13,True,13,4755.424872654698,19542.124363273506,0,0
edge,3,98010,S25,10,True,10,4232.313712536489,16726.56856268245,0,0
edge,3,98010,S21,10,True,10,4232.313712536489,16726.56856268245,0,0
edge,3,98011,S25,16,True,16,4922.574836615973,20297.87418307987,0,0
edge,3,98011,S21,16,True,16,4922.574836615973,20297.87418307987,0,0
edge,3,98012,S25,13,True,13,4977.561363717651,20292.806818588255,0,0
edge,3,98012,S21,13,True,13,4977.561363717651,20292.806818588255,0,0
edge,3,98013,S25,12,True,12,4616.592734302246,18812.963671511232,0,0
edge,3,98013,S21,12,True,12,4616.592734302246,18812.963671511232,0,0
edge,3,98014,S25,12,True,12,4580.265712355348,18421.32856177675,0,0
edge,3,98014,S21,12,True,12,4580.265712355348,18421.32856177675,0,0
edge,3,98015,S25,11,True,11,4332.951994356412,17144.759971782063,0,0
edge,3,98015,S21,11,True,11,4332.951994356412,17144.759971782063,0,0
edge,3,98016,S25,12,True,12,4762.981147780441,19694.905738902216,0,0
edge,3,98016,S21,12,True,12,4762.981147780441,19694.905738902216,0,0
edge,3,98017,S25,13,True,13,4677.317854466058,19196.589272330293,0,0
edge,3,98017,S21,13,True,13,4677.317854466058,19196.589272330293,0,0
edge,3,98018,S25,11,True,11,4941.545116189663,20392.725580948303,0,0
edge,3,98018,S21,11,True,11,4941.545116189663,20392.725580948303,0,0
edge,3,98019,S25,13,True,13,4622.550184441735,18772.75092220867,0,0
edge,3,98019,S21,13,True,13,4622.550184441735,18772.75092220867,0,0
edge,4,98000,S25,11,True,11,9478.559987551236,32882.7999377562,0,0
edge,4,98000,S21,11,True,11,9387.77469892797,34353.87349463986,0,0
edge,4,98001,S25,12,True,12,9252.337297052638,31676.68648526321,0,0
edge,4,98001,S21,12,True,12,9471.819839926096,34204.09919963049,0,0
edge,4,98002,S25,15,True,15,10218.895981022393,36599.47990511198,0,0
edge,4,98002,S21,15,True,15,10223.107570437642,38985.537852188216,0,0
edge,4,98003,S25,12,True,12,8999.023211041787,30405.116055208957,0,0
edge,4,98003,S21,12,True,12,8453.519559144861,30342.597795724316,0,0
edge,4,98004,S25,10,True,10,9455.017575983358,32610.08787991684,0,0
edge,4,98004,S21,10,True,10,8689.687494474674,31088.43747237338,0,0
edge,4,98005,S25,15,True,15,9485.19116926736,33560.95584633679,0,0
edge,4,98005,S21,15,True,15,9496.538784609254,35422.69392304626,0,0
edge,4,98006,S25,15,True,15,9383.536479630162,32427.68239815083,0,0
edge,4,98006,S21,15,True,15,8797.905109092595,31294.525545462988,0,0
edge,4,98007,S25,12,True,12,9927.908852035926,34469.54426017961,0,0
edge,4,98007,S21,12,True,12,9276.618186356172,33453.090931780855,0,0
edge,4,98008,S25,14,True,14,9658.895059590144,33894.475297950725,0,0
edge,4,98008,S21,14,True,14,8519.861920668172,31004.30960334086,0,0
edge,4,98009,S25,13,True,13,9429.613021032437,33153.065105162204,0,0
edge,4,98009,S21,13,True,13,8960.707843129314,32438.53921564657,0,0
edge,4,98010,S25,10,True,10,9243.357455505702,31746.78727752853,0,0
edge,4,98010,S21,10,True,10,8986.47223839852,32232.36119199261,0,0
edge,4,98011,S25,16,True,16,9394.01509364948,32820.07546824741,0,0
edge,4,98011,S21,16,True,16,8619.263287047253,31726.31643523626,0,0
edge,4,98012,S25,13,True,13,9326.657691684188,32203.288458420964,0,0
edge,4,98012,S21,13,True,13,8723.731535300378,31608.657676501887,0,0
