mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
3,160027,G25OR,15,True,15,4570.3121441671965,18601.56072083599,132,15,0
3,160027,O1,15,True,15,4362.3121441671965,18601.56072083599,97,15,0
3,160027,O2,15,True,15,4108.705705983885,17318.52852991943,96,15,0
3,160027,O3,15,True,15,3900.7057059838858,17318.52852991943,61,15,0
3,160027,O0,15,True,15,2208.5820705125975,10667.910352562989,0,15,0
3,160028,G25OR,13,True,13,4105.803153128238,16879.01576564119,112,13,0
3,160028,O1,13,True,13,3812.803153128237,16879.01576564119,63,13,0
3,160028,O2,13,True,13,3628.3536109143784,15386.76805457189,82,13,0
3,160028,O3,13,True,13,3254.914206160104,14984.571030800522,33,13,0
3,160028,O0,13,True,13,1821.8260007492518,8784.130003746259,0,13,0
3,160029,G25OR,16,True,16,4292.826464162887,17719.132320814428,112,16,0
3,160029,O1,16,True,16,4124.826464162887,17719.132320814428,84,16,0
3,160029,O2,16,True,16,3840.3398845818374,16521.699422909187,77,16,0
3,160029,O3,16,True,16,3673.3398845818374,16521.699422909187,49,16,0
3,160029,O0,16,True,16,1743.221242165852,8316.10621082926,0,16,0
3,160030,G25OR,16,True,16,4412.073619499101,18130.3680974955,121,16,0
3,160030,O1,16,True,16,4268.073619499101,18130.3680974955,97,16,0
3,160030,O2,16,True,16,3413.2012999841645,14256.006499920819,81,16,0
3,160030,O3,16,True,16,3269.2012999841636,14256.006499920819,57,16,0
3,160030,O0,16,True,16,1919.5727435706842,9197.863717853419,0,16,0
3,160031,G25OR,14,True,14,4474.881082214741,18524.40541107371,117,14,0
3,160031,O1,14,True,14,4222.881082214741,18524.40541107371,75,14,0
3,160031,O2,14,True,14,3790.7877561863343,16028.93878093167,87,14,0
3,160031,O3,14,True,14,3571.8323143264342,16179.161571632176,45,14,0
3,160031,O0,14,True,14,2079.0218711792477,10045.109355896235,0,14,0
