family,n_sources,seed,method,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,solver_failures,optical_fallbacks,opportunistic_measure_count,opportunistic_direction_count,opportunistic_no_signal_count,legs_selected,became_clear_ready_count,zero_detour_clear_count,clear_ready_count,coverage_move_m,opportunity_move_m,resolver_move_m,clear_move_m,coverage_measure_count,resolver_measure_count,clear_calls
uniform,13,123045,G21A,True,13,6497.144786332827,26115.723931664146,204,189,0,0,0,13,13,0,6,2,0,0,14069.489594960232,3839.4404699356137,6710.760933986974,1496.032932781327,181,10,13
uniform,13,123046,G25OR-S21,True,13,6697.971148204471,27099.85574102235,204,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123046,G21A,True,13,6850.9128911023,28134.564455511496,196,179,0,0,0,13,13,0,6,4,0,0,12951.784669227873,4527.21243453367,7698.304004091002,2957.2633476589526,174,9,13
uniform,13,123047,G25OR-S21,True,13,6407.69144790665,25478.45723953325,209,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123047,G21A,True,13,6485.146444350605,26190.732221753024,199,187,0,0,0,13,13,0,9,4,0,0,11528.204964243449,5589.933874110517,6776.894880015876,2295.6985033831825,177,9,13
uniform,13,123048,G25OR-S21,True,13,6501.693891314681,25823.46945657341,214,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123048,G21A,True,13,6512.980637346247,26054.903186731237,208,194,1,0,0,13,13,0,7,2,0,0,12489.346797307202,4908.051112727124,6230.50427867291,2427.000998024002,184,11,14
uniform,13,123049,G25OR-S21,True,13,6171.903963972428,24399.519819862133,206,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123049,G21A,True,13,6233.973871991842,24884.869359959193,201,187,0,0,0,13,13,0,8,6,0,0,10821.868054152437,5123.399892208151,5174.327120667978,3765.274292930627,181,7,13
uniform,13,123050,G25OR-S21,True,13,6691.334638388904,26871.67319194451,210,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123050,G21A,True,13,6720.730565415627,27318.652827078135,201,187,0,0,0,13,13,0,8,4,0,0,11838.813222124272,5128.828503363502,7315.063061240129,3035.948040350231,179,9,13
uniform,13,123051,G25OR-S21,True,13,6486.683512747419,25878.417563737086,209,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123051,G21A,True,13,6693.347091443222,27151.7354572161,202,188,0,0,0,13,13,0,8,2,0,0,12601.388674671973,4867.687932880499,8702.17442800217,980.4844216614565,177,12,13
uniform,13,123052,G25OR-S21,True,13,6148.780606665137,24408.90303332569,202,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123052,G21A,True,13,6829.015948612536,28155.07974306268,191,178,0,0,0,13,13,0,7,2,0,0,14157.850620128744,3048.566936674223,8371.776331357149,2576.8858549025654,170,8,13
uniform,13,123053,G25OR-S21,True,13,6593.398048271183,26401.990241355925,209,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123053,G21A,True,13,7142.217342846136,29356.086714230667,203,191,0,0,0,13,13,0,9,2,0,0,12587.573601132872,4923.701267668362,9844.333668332245,2000.4781770971886,180,10,13
uniform,13,123054,G25OR-S21,True,13,6219.745552804062,24418.727764020314,213,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123054,G21A,True,13,7180.931503106716,29494.657515533596,205,192,0,0,0,13,13,0,8,2,0,0,12439.446344960099,5131.315776785552,10301.065451522878,1622.829942265067,181,11,13
uniform,13,123055,G25OR-S21,True,13,6844.513818932087,27277.56909466044,222,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123055,G21A,True,13,6775.079666312765,27105.39833156382,217,204,0,0,0,13,13,0,8,6,0,0,12077.148774206065,5332.857554283824,4327.134229438481,5368.257773635451,197,7,13
uniform,13,123056,G25OR-S21,True,13,6348.267425885061,25381.337129425297,203,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123056,G21A,True,13,6551.573357864973,26492.86678932487,200,188,0,0,0,13,13,0,9,5,0,0,11673.00752125759,5356.832203511508,5128.820258825213,4334.20680573056,179,8,13
uniform,13,123057,G25OR-S21,True,13,6488.604305870766,25898.02152935383,209,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123057,G21A,True,13,6551.518017170374,26562.590085851865,198,184,0,0,0,13,13,0,7,4,0,0,12844.524786291435,4252.582428544912,7517.563186645708,1947.919684369811,176,9,13
uniform,13,123058,G25OR-S21,True,13,6441.388733054516,25776.943665272585,205,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123058,G21A,True,13,6363.017731229031,25765.088656145155,193,180,0,0,0,13,13,0,8,8,0,0,11587.827741992181,4794.43599269909,4733.0642071239745,4649.76071432991,175,5,13
uniform,13,123059,G25OR-S21,True,13,6853.553632611635,27622.768163058176,212,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
uniform,13,123059,G21A,True,13,6935.887604100721,28264.438020503596,205,193,0,0,0,13,13,0,9,4,0,0,12081.954130065269,5392.148539518545,8297.869023580559,2492.4663273392243,183,9,13
uniform,14,123060,G25OR-S21,True,14,6854.050627258762,28015.253136293813,198,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123060,G21A,True,14,6866.752354948719,28168.761774743572,196,183,0,0,0,14,14,0,7,2,0,1,13868.16696138763,3868.7543429217703,9190.818071336915,1241.0223990972581,170,12,14
uniform,14,123061,G25OR-S21,True,14,6538.835138280758,26869.17569140379,184,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123061,G21A,True,14,6830.945421808657,28424.727109043288,182,166,0,0,0,14,14,0,6,2,0,0,13916.519462819771,3992.4106020760773,6936.040987471788,3579.756056675651,155,13,14
uniform,14,123062,G25OR-S21,True,14,6694.078267900987,27510.39133950494,189,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123062,G21A,True,14,6743.060834948255,27915.30417474127,184,170,0,0,0,14,14,0,7,1,0,0,12171.408673491273,5253.014921440405,9719.492161759299,771.3884180502955,157,13,14
uniform,14,123063,G25OR-S21,True,14,6316.225578483866,25241.127892419336,201,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123063,G21A,True,14,6352.769386723587,25628.846933617937,195,182,0,0,0,14,14,0,8,5,0,0,12803.076072423106,4617.417069812789,3406.02014831395,4802.333643068092,172,9,14
uniform,14,123064,G25OR-S21,True,14,6083.611305502058,24348.056527510293,192,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123064,G21A,True,14,6893.541799232987,28672.708996164933,184,169,0,0,0,14,14,0,6,5,0,1,13418.70748475688,4149.005415097153,6799.123897538895,4305.872198772004,163,7,14
uniform,14,123065,G25OR-S21,True,14,6364.346230540759,25841.731152703785,189,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123065,G21A,True,14,6719.777595689576,27773.887978447867,185,170,0,0,0,14,14,0,7,2,0,0,13305.317368582519,4603.6126963133265,8625.773536347886,1239.1843772041357,159,12,14
uniform,14,123066,G25OR-S21,True,14,6438.469829823895,25837.349149119476,201,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123066,G21A,True,14,7102.529881073798,29342.649405368982,196,184,0,0,0,14,14,0,9,1,0,0,11883.1842976883,6025.745767207545,9750.887927011012,1682.831413462125,170,12,14
uniform,14,123067,G25OR-S21,True,14,6055.221277766757,24211.106388833785,192,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123067,G21A,True,14,6184.972157531691,25029.860787658446,187,174,0,0,0,14,14,0,8,6,0,0,11598.316481437452,5137.801579020947,5275.691967715233,3018.0507594848145,165,8,14
uniform,14,123068,G25OR-S21,True,14,6735.629227888326,27728.146139441626,188,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123068,G21A,True,14,6746.932913799246,28114.664568996235,178,164,0,0,0,14,14,0,8,5,0,0,12666.392183597502,4241.420931836119,8295.487654148561,2911.363799414053,155,9,14
uniform,14,123069,G25OR-S21,True,14,6753.197967779125,27485.98983889562,199,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123069,G21A,True,14,6686.450953856946,27507.254769284722,188,175,0,0,0,14,14,0,8,4,0,0,12065.289420106856,5321.363503457627,6491.65075483578,3628.9510908844586,164,10,14
uniform,14,123070,G25OR-S21,True,14,6200.219639755198,24881.09819877598,194,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123070,G21A,True,14,6758.262418598964,27786.312092994827,191,176,0,0,0,14,14,0,7,3,0,0,12655.91514345544,5253.014921440405,7458.66206621343,2418.719961885552,167,10,14
uniform,14,123071,G25OR-S21,True,14,6417.940656487411,25194.70328243705,219,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123071,G21A,True,14,7124.581735406793,28917.908677033967,214,201,0,0,0,14,14,0,9,3,0,0,10799.367829904273,6616.204186496123,9948.98358872265,1553.3530719109203,189,11,14
uniform,14,123072,G25OR-S21,True,14,6529.2875737601225,26061.43786880062,209,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
uniform,14,123072,G21A,True,14,6840.4670958474035,28012.335479237012,197,183,0,0,0,14,14,0,8,4,0,0,12685.42113586239,5223.5089290334545,8162.561899806169,1940.8435145349977,173,10,14
