kind,mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,optical_fallbacks,solver_failures,extra_measurements,dynamic_absent_channels,dynamic_absent_cells,wall_s
edge,4,96009,Full_noQ4,16,True,16,10258.786936183948,36603.93468091973,489,413,0,0,0,88,0,0,0.4236290454864502
edge,4,96009,Full_Q4,16,True,16,10258.786936183948,36603.93468091973,489,413,0,0,0,88,0,2132,2.2225582599639893
edge,4,96010,G25OR,13,True,13,9561.380488864452,33421.902444322266,478,422,0,0,0,61,0,0,0.08902740478515625
edge,4,96010,Full_noQ4,13,True,13,9554.380488864452,33421.902444322266,477,420,0,0,0,60,0,0,0.17390227317810059
edge,4,96010,Full_Q4,13,True,13,9554.380488864452,33421.902444322266,477,420,0,0,0,60,0,2236,1.9586927890777588
edge,4,96011,G25OR,15,True,15,9571.185949818297,32880.929749091505,498,430,0,0,0,78,0,0,0.11939644813537598
edge,4,96011,Full_noQ4,15,True,15,9199.874772371712,31999.373861858552,466,395,0,0,0,77,0,0,0.20112848281860352
edge,4,96011,Full_Q4,15,True,15,9199.874772371712,31999.373861858552,466,395,0,0,0,77,0,2014,1.9266538619995117
edge,4,96012,G25OR,14,True,14,9382.82180555235,32484.109027761784,479,421,0,0,0,66,0,0,0.12914443016052246
edge,4,96012,Full_noQ4,14,True,14,9382.82180555235,32484.109027761784,479,421,0,0,0,66,0,0,0.20571112632751465
edge,4,96012,Full_Q4,14,True,14,9382.82180555235,32484.109027761784,479,421,0,0,0,66,0,2203,2.814270257949829
edge,4,96013,G25OR,16,True,16,10017.047159933607,35275.235799668044,492,422,0,0,0,84,0,0,0.29852843284606934
edge,4,96013,Full_noQ4,16,True,16,10011.047159933607,35275.235799668044,491,421,0,0,0,83,0,0,0.525665283203125
edge,4,96013,Full_Q4,16,True,16,10011.047159933607,35275.235799668044,491,421,0,0,0,83,0,2163,3.9825937747955322
edge,4,96014,G25OR,11,True,11,8731.349825856414,29671.74912928209,464,422,0,0,0,44,0,0,0.20723176002502441
edge,4,96014,Full_noQ4,11,True,11,9083.03920020459,31060.196001022956,477,431,0,0,0,48,0,0,0.28305506706237793
edge,4,96014,Full_Q4,11,True,11,9083.03920020459,31060.196001022956,477,431,0,0,0,48,0,2400,5.220961570739746
