mode,seed,kind,sources,success,cleared,virtual_time_s,time_per_source_s,distance_m,measures,switches,clear_calls,failed_clear,cost_identity_error_s
3,260159,edge,15,True,15,3989.0470093372737,265.9364672891516,15550.235046686363,137,119,15,0,1.3642420526593924e-12
3,260160,uniform,15,True,15,3231.4031434411177,215.42687622940784,13322.01571720558,83,77,15,0,1.3642420526593924e-12
3,260161,uniform,12,True,12,3552.837491414759,296.0697909512299,14274.187457073798,108,98,12,0,-9.094947017729282e-13
3,260162,edge,11,True,11,3823.018637920104,347.54714890182765,15055.093189600524,129,112,11,0,-9.094947017729282e-13
3,260163,uniform,16,True,16,3513.2130264553016,219.57581415345635,14496.065132276502,91,79,16,0,9.094947017729282e-13
3,260164,uniform,12,True,12,3902.1097169631566,325.1758097469297,15420.548584815791,129,113,12,0,-1.8189894035458565e-12
3,260165,edge,11,True,11,3662.6469344910124,332.9679031355466,14088.234672455066,134,120,11,0,-9.094947017729282e-13
3,260166,uniform,11,True,11,3292.770854235105,299.3428049304641,12928.854271175527,110,102,11,0,-4.547473508864641e-13
3,260167,uniform,13,True,13,3261.2877990015413,250.8682922308878,12826.438995007707,107,96,13,0,0.0
3,260168,edge,15,True,15,4490.0638274010535,299.3375884934036,18065.31913700527,137,117,15,0,-9.094947017729282e-13
3,260169,uniform,16,True,16,3929.041731390667,245.56510821191668,16315.20865695333,100,83,17,1,9.094947017729282e-13
3,260170,uniform,16,True,16,3544.2164979886015,221.5135311242876,14556.082489943006,94,83,16,0,4.547473508864641e-13
3,260171,edge,12,True,12,4152.10277587115,346.00856465592915,16445.51387935575,137,118,12,0,0.0
3,260172,uniform,13,True,13,3499.9820182960857,269.2293860227758,14154.910091480428,102,94,13,0,0.0
3,260173,uniform,16,True,16,3312.0514164644524,207.00321352902827,13510.257082322265,90,80,16,0,-4.547473508864641e-13
3,260174,edge,13,True,13,4015.9134291453884,308.9164176265683,15989.567145726936,129,108,13,0,9.094947017729282e-13
3,260175,uniform,14,True,14,3798.245554343496,271.3032538816783,15451.22777171749,109,93,14,0,-1.8189894035458565e-12
3,260176,uniform,16,True,16,3582.171296035479,223.88570600221743,15095.856480177395,82,73,16,0,0.0
3,260177,edge,10,True,10,3517.230259750336,351.7230259750336,13356.15129875168,135,121,10,0,0.0
3,260178,uniform,12,True,12,3376.9915196704414,281.41595997253677,13369.957598352203,109,98,12,0,9.094947017729282e-13
3,260179,uniform,16,True,16,3664.2984857390393,229.01865535868995,15186.492428695192,94,77,16,0,9.094947017729282e-13
3,260180,edge,12,True,12,3654.0843308048884,304.50702756707403,14375.421654024438,122,109,12,0,9.094947017729282e-13
3,260181,uniform,11,True,11,3304.9375677303537,300.4488697936685,12869.68783865177,114,106,11,0,0.0
3,260182,uniform,11,True,11,3408.992896386941,309.90844512608555,12909.964481934707,131,117,11,0,-4.547473508864641e-13
3,260183,edge,13,True,13,4236.158372851177,325.85833637316745,16760.791864255883,140,119,13,0,0.0
3,260184,uniform,13,True,13,3315.6063947343273,255.04664574879442,13088.031973671643,107,98,13,0,-1.3642420526593924e-12
3,260185,uniform,12,True,12,3354.7476846159134,279.5623070513261,13258.738423079569,109,98,12,0,-4.547473508864641e-13
3,260186,edge,15,True,15,4221.523734703055,281.43491564687037,16702.61867351528,138,116,15,0,-9.094947017729282e-13
3,260187,uniform,16,True,16,3472.181028087783,217.01131425548644,14535.90514043892,83,70,16,0,-9.094947017729282e-13
3,260188,uniform,10,True,10,2840.4931328934754,284.04931328934754,10747.465664467372,108,101,10,0,9.094947017729282e-13
3,260189,edge,14,True,14,3817.480791339001,272.6771993813572,14937.403956695003,130,110,14,0,4.547473508864641e-13
