seed,mode,variant,kind,sources,cleared,virtual_s,distance_m,measure_calls,switches,failed_clear,clear_calls,visited,opportunistic,wall_s
91080,4,G31,edge,14,14,12223.961503123224,46829.807515616165,479,393,0,14,31,0,0.006834268569946289
91081,4,G31,edge,14,14,12570.81484707757,48244.0742353879,490,402,0,14,31,0,0.006781101226806641
91082,4,G31,edge,15,15,12221.8777875034,47034.388937517,470,390,0,15,31,0,0.006989002227783203
91083,4,G31,edge,10,10,12011.67503999091,44018.37519995456,539,463,0,10,31,0,0.005665302276611328
91084,4,G31,edge,15,15,12444.931934852953,46274.65967426481,534,445,0,15,31,0,0.006942272186279297
91085,4,G31,edge,10,10,11572.243433614189,42611.21716807093,511,445,0,10,31,0,0.00670170783996582
91086,4,G31,edge,10,10,11554.696243721277,43193.48121860644,491,411,0,10,31,0,0.004979133605957031
91087,4,G31,edge,13,13,12432.62123088009,47208.10615440046,504,406,0,13,31,0,0.006462574005126953
91088,4,G31,edge,14,14,12713.165850749781,47890.82925374891,526,435,0,14,31,0,0.007471799850463867
91089,4,G31,edge,11,11,12040.253316729568,45881.26658364788,480,409,0,11,31,0,0.005560636520385742
91090,4,G31,edge,10,10,12434.798744918133,45358.993724590706,566,483,0,10,31,0,0.006053924560546875
91091,4,G31,edge,12,12,12593.815847160944,47354.07923580468,525,438,0,12,31,0,0.0061492919921875
91092,4,G31,edge,10,10,11693.45032434419,42937.25162172098,521,451,0,10,31,0,0.005171298980712891
91093,4,G31,edge,13,13,11658.84861514433,44664.24307572165,455,386,0,13,31,0,0.006295204162597656
91094,4,G31,edge,11,11,11776.701101345474,44063.50550672735,496,429,0,11,31,0,0.005262613296508789
91095,4,G31,edge,16,16,11697.522900915055,45982.614504575264,422,311,0,16,28,0,0.007370710372924805
91096,4,G31,edge,15,15,12563.122548567044,47935.61274283526,497,416,0,15,31,0,0.007795095443725586
91097,4,G31,edge,10,10,11712.736315100125,43233.68157550064,515,441,0,10,31,0,0.005300045013427734
91098,4,G31,edge,11,11,11571.503343739201,44322.516718696,455,377,0,11,31,0,0.005097389221191406
91099,4,G31,edge,13,13,12189.754067262207,45828.770336311034,507,424,0,13,31,0,0.006674766540527344
91000,4,G25,edge,15,15,10712.477405205325,38742.387026026656,498,399,0,15,25,0,0.007345676422119141
91001,4,G25,edge,11,11,9885.787348157655,34693.93674078834,494,422,0,11,25,0,0.0066258907318115234
