group,problem,run_id,case_code,sources,cleared,full_clear,virtual_time_s,avg_clear_time_s,program_run_s,measure_calls,switches,clear_failures,end_reason
G25O,3,169,ZVQK-MJ25-HQHP-GP4R,10,10,1,3681.235237,368.123524,1.325,119,112,0,user_exit
G25O,3,170,339P-VJSJ-KR2S-6PYP,16,16,1,4528.540816,283.033801,1.354,94,83,1,user_exit
G25O,3,171,VYK4-JQPU-63AF-PQ4F,16,16,1,4170.350959,260.646935,1.359,90,84,1,user_exit
G25O,3,172,5PYY-5DCT-4ZT5-62RA,14,14,1,4128.788514,294.913465,1.2,102,100,2,user_exit
G25O,3,173,76XF-CCXY-66RF-EC3H,11,11,1,4243.512833,385.773894,1.356,114,110,0,user_exit
G25O,3,174,ZWAY-XFRM-E397-7T6Z,12,12,1,3756.720103,313.060009,1.125,108,105,1,user_exit
G25O,3,175,5MDF-VK43-XYC5-4FPT,16,16,1,4335.598059,270.974879,1.401,111,103,0,user_exit
G25O,3,176,H4BH-RRXW-JCWS-FFC3,14,14,1,4297.79435,306.985311,1.366,106,102,1,user_exit
G25O,3,177,FQ98-DJTF-VMJT-N246,15,15,1,4320.868575,288.057905,1.172,104,101,2,user_exit
G25O,3,178,R9BK-KXYZ-JMC2-2UFA,13,13,1,4272.955012,328.688847,1.45,103,99,2,user_exit
G25O,3,179,VR3M-MPPM-UE3V-KZAR,13,13,1,4205.794008,323.522616,1.247,111,108,3,user_exit
G25O,3,180,ZSM3-729M-ZMZF-M72D,13,13,1,4847.18463,372.860356,1.52,118,112,0,user_exit
G25O,3,181,H589-CRE3-RWAF-MZHC,15,15,1,4387.864158,292.524277,1.517,101,96,0,user_exit
G25O,3,182,SAP8-BZB4-94EZ-9KXH,13,13,1,4606.392141,354.337857,1.425,106,104,0,user_exit
G25O,3,183,PWYG-KF6D-Z8RE-NJRY,12,12,1,4313.425707,359.452142,1.384,110,105,0,user_exit
G25O,3,184,WKVF-X4EX-6533-KNBY,13,13,1,3870.514602,297.731892,1.459,103,102,0,user_exit
G25O,3,185,ASK5-QE5K-73YA-KHSS,15,15,1,3938.571892,262.571459,1.652,108,103,0,user_exit
G25O,3,186,YU2M-MZQP-THJQ-H23W,14,14,1,4363.218357,311.658454,1.196,104,101,0,user_exit
G25O,3,187,RX5Z-EZZH-9NKK-7RZE,14,14,1,4441.011273,317.215091,1.154,107,103,0,user_exit
